question;answer
"""Est-ce qu’une personne physique soumise à l’impôt sur le revenu selon le régime forfaitaire dans la catégorie des « bénéfices industriels et commerciaux » est soumise à la TFP ?""";"""Les personnes physiques soumises à l'impôt sur le revenu selon le régime forfaitaire d'imposition ne sont pas soumises à la TFP."""
"""Est-ce que les rémunérations du gérant d’une société unipersonnelle à responsabilité limitée sont déductibles ?""";"""Les rémunérations du gérant d'une SUARL sont déductibles pour la détermination de l'assiette soumise à l'IS. La déduction se limite aux montants et à la valeur des avantages accordés au gérant en contrepartie de son activité au sein de la société en sa dite qualité, à condition qu'ils ne soient pas exagérés."""
"""Si l’employeur refuse l’application de l’article 26 de la loi de finances complémentaire pour l’année 2015, est-ce que le salarié peut bénéficier de la déduction des intérêts de la base de l’impôt annuel lors du dépôt de sa déclaration ?""";"""La déduction aura lieu du revenu global lors du dépôt de la déclaration annuelle de l'impôt dû."""
"""Quel est le taux de la retenue à la source à appliquer sur une facture de service rendu au profit d’une société totalement exportatrice ?""";"""Les montants égaux ou supérieurs à 1000 D TTC payés par les sociétés totalement exportatrices en contrepartie de services nécessaires à leur activité sont soumis à la retenue à la source au taux de 0.5%."""
"""Est-ce que les associations sont soumises à l’IS ?""";"""Les associations sont hors champ d'application de l'impôt sur les sociétés, mais ce dernier s'applique à celles qui n'exercent pas leur activité conformément à la législation les régissant."""
"""Quel est le taux d’amortissement des frais préliminaires ?""";"""Les taux maximum des amortissements linéaires relatifs aux frais préliminaires sont fixés par le décret n°2008-492 du 25 février 2008 à 100%."""
"""Quels sont les droits d’enregistrement d’un contrat de location d’un local à usage commercial ?""";"""Les baux de biens immeubles autres que ceux destinés à l'habitation sont enregistrés au taux proportionnel fixé à 1% du prix total du bail, déclaré dans le contrat."""
"""Quel est le taux de retenue à la source applicable sur les jeux de pari ?""";"""Le taux de retenue à la source applicable sur les revenus réalisés des jeux de pari, de hasard et de loterie est de 25 %."""
"""Quelles sont les mentions obligatoires qui doivent être portées au bon de sortie ?""";"""Le bon de sortie doit comporter la nature et la quantité des marchandises transportées, sa date d'émission, ainsi que le numéro d'immatriculation du moyen de transport. (Paragraphe III article 18 du code de la TVA)."""
"""Quelles sont les obligations déclaratives d’une personne physique ayant des bénéfices industriels et commerciaux (BIC) soumise au régime forfaitaire ?""";"""Dépôt d'une déclaration d'existence, avant d'entamer l'activité (art 56 du code de l'IRPP et de l'IS), dépôt de la déclaration annuelle de l'impôt, déclaration trimestrielle relative à la retenue à la source et au FOPROLOS, déclaration d'employeur."""
"""Quel est le délai de paiement de la taxe de circulation pour les véhicules automobiles portant des numéros d'immatriculation pairs ?""";"""Jusqu'au 5 mars pour les véhicules automobiles portant des numéros d'immatriculation pairs et appartenant à des personnes physiques."""
"""En 2016, quel est le pourcentage de chiffre d’affaires qu’une entreprise totalement exportatrice industrielle peut écouler sur le marché local ?""";"""En 2016, les entreprises totalement exportatrices industrielles peuvent écouler localement une partie de leur production dans la limite de 30% de leur chiffre d'affaires à l'exportation départ usine réalisé durant l'année civile précédente (article 16 du code d'incitation aux investissements)."""
"""Quelles sont les obligations déclaratives avant de commencer l'activité ?""";"""Toute personne physique ou morale exerçant une activité industrielle commerciale artisanale ou de service ou exerçant une profession non commerciale doit avant de commencer l’activité se faire connaître auprès des services fiscaux au moyen d’une déclaration dite déclaration d’existence (article 56 du code d’impôt sur le revenu des personnes physiques et de l’impôt sur les sociétés). Cette déclaration doit être déposée auprès"""
"""Quelles sont les obligations déclaratives des personnes soumises au régime forfaitaire en cours d'activité ?""";"""Les personnes soumises au régime forfaitaire doivent déposer : une déclaration mensuelle au titre de la retenue à la source, la contribution au FOPROLOS si elles sont employeurs, des déclarations au titre des trois acomptes provisionnels, une déclaration annuelle au titre de l'impôt sur le revenu et des taxes revenant aux collectivités locales."""
"""Quelles sont les obligations déclaratives à la fin de l'activité ?""";"""Toute personne physique ou morale doit à la fin de l'activité déposer une déclaration de cessation dans un délai de 15 jours à partir de la date de la cession ou de la fermeture définitive de l'entreprise avec paiement des droits dus. La cessation n'est prononcée qu'après vérification fiscale pour la période non prescrite."""
"""Quels sont les documents à joindre à la déclaration annuelle des personnes physiques soumises au régime réel et des personnes morales ?""";"""Les personnes physiques soumises au régime réel et les personnes morales doivent fournir à l'appui de leur déclaration annuelle : les états financiers, un tableau de détermination du résultat fiscal à partir du résultat comptable, un relevé détaillé des amortissements, un relevé détaillé des provisions,
Un relevé détaillé des dons et subventions accordés indiquant l'identité des bénéficiaires et les montants qui leur ont été accordés."""
"""Quelles sont les obligations relatives aux factures et aux titres de mouvement prévues par la législation fiscale ?""";"""Selon la législation fiscale tunisienne, les contribuables doivent émettre des factures pour chaque vente de biens ou prestation de services, en respectant les mentions obligatoires telles que le numéro de la facture, la date, l'identité des parties, la nature et la quantité des biens ou services, le prix unitaire et total, ainsi que le montant de la TVA le cas échéant. Les factures doivent être conservées pendant une durée légale minimale (souvent 10 ans) à des fins de contrôle. Quant aux titres de mouvement (documents accompagnant le transport des biens), ils doivent également comporter des informations précises permettant de tracer la circulation des marchandises, et doivent être présentés en cas de contrôle fiscal pour justifier la régularité des opérations. Le non-respect de ces obligations peut entraîner des sanctions fiscales, notamment des pénalités et le rejet de la déduction de la TVA."""
"""Quelles sont les obligations comptables des personnes soumises au régime réel ?""";"""Les personnes physiques ou morales soumises au régime réel en Tunisie doivent tenir une comptabilité régulière et sincère, conforme aux règles comptables nationales. Elles doivent enregistrer toutes les opérations commerciales, financières et patrimoniales dans des livres comptables obligatoires : journal, grand livre, livre d'inventaire. Elles doivent également établir des états financiers annuels, comprenant un bilan, un compte de résultat et une annexe, afin de justifier leurs résultats fiscaux auprès de l'administration. Ces documents doivent être conservés pendant au moins 10 ans. Le non-respect de ces obligations peut entraîner des sanctions fiscales et pénales."""
"""Quelles sont les obligations comptables des personnes physiques bénéficiaires du régime forfaitaire de détermination du revenu au titre des revenus non commerciaux et fonciers ?""";"""Elles doivent tenir un registre côté et paraphé par les services des impôts sur lequel sont portées au jour le jour, les recettes et les dépenses"""
"""Quelles sont les obligations comptables des personnes soumises au régime réel simplifié ?""";"""Les personnes physiques soumises à l'impôt sur le revenu au titre des bénéfices industriels et commerciaux selon le régime réel simplifié et dont le chiffre d'affaires annuel n'excède pas 100.000 dinars, doivent tenir : un registre côté et paraphé par les services du contrôle fiscal sur lequel sont portés au jour le jour les recettes brutes et les charges sur la base des pièces justificatives, un livre d'inventaire côté et paraphé par les services du contrôle fiscal où sont enregistrés annuellement les immobilisations et les stocks"""
"""Quelles sont les obligations comptables des personnes physiques bénéficiaires du régime forfaitaire d'imposition en matière de bénéfices industriels et commerciaux ?""";"""Elles doivent tenir un registre côté et paraphé par les services des impôts sur lequel sont portées les recettes et les dépenses."""
"""Quelle est la date de prescription pour les vignettes ?""";"""Les omissions et les erreurs constatées dans la liquidation des taxes de circulation sur les véhicules automobiles peuvent être réparées jusqu'à l'expiration de la 4ième année civile qui suit l'année civile au cours de laquelle l'impôt est dû tant qu'il n'a pas été prouvé que le véhicule est hors usage, et ce suite à la présentation d'une attestation délivrée par les services du ministère chargé du transport justifiant que le véhicule est hors d'usage ou un document justifiant sa non circulation délivrée par les services compétents."""
